GUBERNATORIAL ELECTIONS 1999 to 1999,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19991109,General,Kentucky,"128,788","Martin, Peppy",Challenger,"352,099","Patton, Paul E.",Incumbent,N/A,N/A,N/A,N/A,"10,257","223,311",D,0.00,26.78,73.22,
Governor,N/A,19991023,General,Louisiana,"805,203","Foster, Mike",Incumbent,"382,445","Jefferson, William J.",Challenger,N/A,N/A,N/A,N/A,"107,557","422,758",R,0.00,67.80,32.20,There was no run-off needed because Foster won over 50% of the vote.
Governor,N/A,19991104,General,Mississippi,"370,691","Parker, Mike",Challenger,"379,034","Musgrove, Ronnie",Challenger,N/A,N/A,N/A,N/A,"14,213","8,343",D,0.00,49.44,50.56,
,,,,,,,,,,,,,,,,,,,,,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll,,,,,,,
N/A,United States,"2,550,287","1,304,682","1,113,578",N/A,"132,027","191,104",R,51.16,43.66,0.00,5.18,53.95,46.05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GUBERNATORIAL ELECTIONS 1998 to 1998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
